Chave do item;ID do item;Resumo;Situação;Componente(s);Componente(s);Componente(s);Campo personalizado (Valor Inicial);Campo personalizado (Meta para o Valor);Campo personalizado (Valor Atual);Campo personalizado (Objetivo);Campo personalizado (Resultado Chave);Campo personalizado (Ciclo da Iniciativa);Campo personalizado (Check In);Campo personalizado (Completude);Campo personalizado (Lista de céulas OKRs);Campo personalizado (Observação para PI Planning);Campo personalizado (Quando Será Medido?);Campo personalizado (Transbordo);Rótulos;Rótulos;Campo personalizado (% Avanço);Campo personalizado (Empresa BS);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate)
SGTIJIRA01-58284;852796;OKR1.1.2.1 Potencializar a utilização dos serviços da Novamed pelos beneficiários.;Em Progresso;PI#9SI;;;0.0;1;0;O1.1.2 Potencializar a utilização dos serviços da Novamed pelos beneficiários.;KR1.1.2.1 Implantar a funcionalidade da criação de convênios.;Ciclo 2025;1;;SAU Portal Novamed;;Medição ao final do 4º trim;Não;VS_Novamed;;;Saúde;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51542;SAUNMED000-7;SAUNMED000-2;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58283;852826;"OKR5.1.4.1 Adequar o processo de cobrança do produto Vida Viva no Canal Mobile | Substituir o processo do CBON para o SAP permitindo o repique de tentativa de débito";Em Progresso;PI#17BVP;;;0.0;1;0;O5.1.4 Adequar o processo de cobrança do produto Vida Viva no Canal Mobile;"KR5.1.4.1 Substituir o processo do CBON para o SAP permitindo o repique de tentativa de débito
 ";Ciclo 2025;1;;Parcerias Vida e Previdência;;;;VS_Est_VendasParcerias;;0.0;BVP;SDIGVSBV00-41421;SGTIJIRA01-51407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58282;852906;"OKR2.3.2.1 Aumentar controle sobre o processo do não referenciado, garantindo análise e pagamento assertivos";Em Progresso;PI#9SI;;;0.0;2;0;"O2.3.2 Aumentar controle sobre o processo do não referenciado, garantindo análise e pagamento assertivos";KR2.3.2.1  Implementar 2 integrações do workflow com os sistemas de sinistro mapeados;Ciclo 2025;1;;SAU VSSP - Pagamento Não Referenciado;;Medição ao final do 4º trim;Não;VS_PAGAMENTOS;;;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSSP00-14717;SSAUVSSP00-15103;SGTIJIRA01-50710;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58281;852905;OKR2.2.2.1 Melhorar a qualidade da informação enviada a ANS;Em Progresso;PI#9SI;;;25.0;10;25;O2.2.2 Melhorar a qualidade da informação enviada a ANS;KR2.2.2.1 Reduzir a diferença no valor entre TIS?S e DIOPS de 25% para 10%;Ciclo 2025;1;;SAU VSSP – Regulatórios;;Medição ao final do 4º trim;Não;VS_PAGAMENTOS;;;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSSP00-14839;SGTIJIRA01-50708;SSAUVSSP00-14840;SSAUVSSP00-14836;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58280;852904;OKR2.1.2.1 Monitorar a incorporação de guias TISS;A Fazer;PI#9SI;;;0.0;95;0;O2.1.2 Monitorar a incorporação de guias TISS;KR2.1.2.1 Atingir em 95% a taxa de incorporação das guias no Monitoramento TISS;Ciclo 2025;1;;SAU VSSP – Regulatórios;;Medição ao final do 4º trim;Não;VS_PAGAMENTOS;;;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSSP00-14834;SSAUVSSP00-14835;SSAUVSSP00-14833;SGTIJIRA01-50706;SSAUVSSP00-14836;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58279;852903;OKR2.4.5.1 Melhorar a experiencia do negócio e prestadores referente ao SINPAGOS;A Fazer;PI#9SI;;;0.0;1;0;O2.4.5 Melhorar a experiencia do negócio e prestadores referente ao SINPAGOS;"KR2.4.5.1 Fornecer 1 meio do negócio para parametrizar o SINPAGOS.
";Ciclo 2025;1;;SAU VSSP - PSL;;Medição ao final do 4º trim;Não;VS_PAGAMENTOS;;;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSSP00-14867;SGTIJIRA01-50712;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58278;852902;OKR2.4.3.1 Melhorar operacionalmente o processo da PSL e mitigar riscos de negócio;Em Progresso;PI#9SI;;;0.0;2;0;O2.4.3 Melhorar operacionalmente o processo da PSL e mitigar riscos de negócio;KR2.4.3.1 Implantar 2 melhorias de processos PSL dentro do trimestre;Ciclo 2025;1;;SAU VSSP - PSL;;Medição ao final do 4º trim;Não;VS_PAGAMENTOS;;;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSSP00-15009;SSAUVSSP00-15006;SGTIJIRA01-50712;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58277;852901;OKR1.5.3.1 Configurar o fluxo de pagamento do Capitation (incremento plano piloto);FINALIZADO;PI#9SI;;;0.0;2;2;O1.5.3 Configurar o fluxo de pagamento do Capitation (incremento plano piloto);KR1.5.3.1 Entregar 2 módulos do Capitation (incremento plano piloto);Ciclo 2025;1;Atingiu a Meta;SAU VSSP - Assertividade de Pagamentos;;Medição ao final do 3º trim;Não;VS_PAGAMENTOS;;100.0;Saúde;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50609;SSAUVSSP00-14275;SSAUVSSP00-14313;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58276;852900;OKR1.1.2.1 Estruturar os processos de ML para análise automatizada dos documentos médicos;A Fazer;PI#9SI;;;0.0;100;0;O1.1.2 Estruturar os processos de ML para análise automatizada dos documentos médicos;KR1.1.2.1 Integrar 100% dos processos de ML;Ciclo 2025;1;;SAU VSSP - Assertividade de Pagamentos;;Medição ao final do 4º trim;Não;VS_PAGAMENTOS;;;Saúde;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50605;SSAUVSSP00-14817;SSAUVSSP00-13947;SSAUVSSP00-14866;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58274;852498;OKR2.4.4.1 Atender apontamentos de inspetoria;A Fazer;PI#9SI;;;0.0;2;0;O2.4.4 Atender apontamentos de inspetoria;KR2.4.4.1 Implantar 2 pontos de inspetoria;Ciclo 2025;1;;SAU VSSP - PSL;;Medição ao final do 4º trim;Não;VS_PAGAMENTOS;;;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSSP00-14924;SGTIJIRA01-50712;SSAUVSSP00-14869;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58273;852497;OKR1.3.2.1 Aumentar a taxa automatizada de análise de guias iniciais;Em Progresso;PI#9SI;;;79.0;82;79;O1.3.2 Aumentar a taxa automatizada de análise de guias iniciais;KR1.3.2.1 Atingir o percentual dos 82% (média anual) até o fim de 2025 mesmo com a migração em paralelo.;Ciclo 2025;1;;SAU VSSP - Automação SADT;;Medição ao final do 4º trim;Não;VS_PAGAMENTOS;;;Saúde;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50607;SSAUVSSP00-13544;SSAUVSSP00-14546;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58272;852496;OKR1.2.3.1 Viabilizar a migração de prestadores de SP do SSCF para o SCAM;Em Progresso;PI#9SI;;;0.0;100;0;O1.2.3 Viabilizar a migração de prestadores de SP do SSCF para o SCAM;KR1.2.3.1 Migrar 100% das regiões do Brasil (não migradas);Ciclo 2025;1;;SAU VSSP - Automação SADT;;Medição ao final do 4º trim;Não;VS_PAGAMENTOS;;;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSSP00-14682;SGTIJIRA01-50606;SSAUVSSP00-13758;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58271;851547;"OKR3.1.3.3 Impulsionar o crescimento do Prestamista por meio da expansão de canais, conquista de novos públicos e aumento da visibilidade | Permitir o cobrança por débito em conta  na comercialização do produto CaGiro no canal  VPRS";A Fazer;PI#17BVP;;;0.0;1;0;"O3.1.3 Impulsionar o crescimento do Prestamista por meio da expansão de canais, conquista de novos públicos e aumento da visibilidade";KR3.1.3.3 Permitir o cobrança por débito em conta  na comercialização do produto CaGiro no canal  VPRS;Ciclo 2025;1;;BVP Prestamista;;Medição ao final do 4º trim;Não;VS_AqRent_Prestamista;;0.0;BVP;SGTIJIRA01-51402;;;;;;;;;;;;;;;;;;;;SDIGVSBV00-41408;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58267;850708;OKR1.3.2.2 Garantir conformidade legal e evitar prejuízos financeiros e de imagem;A Fazer;PI#9SI;;;0.0;100;0;"O1.3.2 Garantir conformidade legal e evitar prejuízos financeiros e de imagem
";KR1.3.2.2 Entregar 100%  de ajustes de regra para emitir a Nota Fiscal pela Prefeitura de São Paulo;Ciclo 2025;1;;SAU VSGA - Gestão ADM SISA;;Medição ao final do 4º trim;Não;VS_GA;;;Saúde;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50664;SSAUVSGA00-35044;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58265;850706;"OKR1.2.4.3 Aprimorar a qualidade do atendimento as demandas das áreas internas, implementando melhorias nos sistemas existentes";Em Progresso;PI#9SI;;;0.0;2;1;"O1.2.4 Aprimorar a qualidade do atendimento as demandas das áreas internas, implementando melhorias nos sistemas existentes";KR1.2.4.3 Refatorar 2 módulos legado com padrões de codificação atualizados até o final do trimestre.;Ciclo 2025;1;;"SAU VSGA - Cobertura e Finanças
SAU VSGA - Conexão APIs
";;Medição ao final do 4º trim;Não;VS_GA;;50.0;Saúde;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50661;SSAUVSGA00-35466;SSAUVSGA00-34578;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58264;850705;"OKR1.2.4.2 Aprimorar a qualidade do atendimento as demandas das áreas internas, implementando melhorias nos sistemas existentes";A Fazer;PI#9SI;;;0.0;1;0;"O1.2.4 Aprimorar a qualidade do atendimento as demandas das áreas internas, implementando melhorias nos sistemas existentes";"KR1.2.4.2 Construir a integração de 1 API com o módulo financeiro de compensação bancária.
";Ciclo 2025;1;;SAU VSGA - Conexão APIs;;Medição ao final do 4º trim;Não;VS_GA;;;Saúde;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50661;SSAUVSGA00-35720;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58263;850704;"OKR1.2.4.1 Aprimorar a qualidade do atendimento as demandas das áreas internas, implementando melhorias nos sistemas existentes";Em Progresso;PI#9SI;;;0.0;22;6;"O1.2.4 Aprimorar a qualidade do atendimento as demandas das áreas internas, implementando melhorias nos sistemas existentes";"KR1.2.4.1 Implementar 22 evoluções de regras de negócio em sistemas legado para suportar o crescimento e aumentar a satisfação dos clientes internos.
";Ciclo 2025;1;;"SAU VSGA - Cobertura e Finanças
SAU VSGA - Gestão ADM SESA
SAU VSGA - Habilitador Serviços
SAU VSGA - Gestão Impressos";;Medição ao final do 4º trim;Não;VS_GA;;27.0;Saúde;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50661;SSAUVSGA00-32060;SSAUVSGA00-35799;SSAUVSGA00-35534;SSAUVSGA00-35576;SSAUVSGA00-32726;SSAUVSGA00-35047;SSAUVSGA00-34230;SSAUVSGA00-35593;SSAUVSGA00-35525;SSAUVSGA00-35049;SSAUVSGA00-35473;SSAUVSGA00-35592;SSAUVSGA00-35102;SSAUVSGA00-34232;SSAUVSGA00-35486;SSAUVSGA00-32250;SSAUVSGA00-35045;SSAUVSGA00-33085;SSAUVSGA00-33867;SSAUVSGA00-32454;SSAUVSGA00-34663;SSAUVSGA00-32929;;;;
SGTIJIRA01-58262;850703;"OKR1.1.3.1 Expandir o portfólio de serviços integrados nos canais de atendimento ao corretor, contratantes e beneficiários";Em Progresso;PI#9SI;;;0.0;3;0;"O1.1.3 Expandir o portfólio de serviços integrados nos canais de atendimento ao corretor, contratantes e beneficiários";"KR1.1.3.1 Implantar 3 serviços de transmissão de arquivos para disponibilização nos Portais de Negócio e Contratante.

";Ciclo 2025;1;;"SAU VSGA - Habilitador Serviços
SAU VSGA - Gestão Impressos";;Medição ao final do 4º trim;Não;VS_GA;;0.0;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSGA00-32315;SSAUVSGA00-35121;SGTIJIRA01-50659;SSAUVSGA00-32253;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58260;850036;"OKR 5.1.3.1 Diversificar canais de venda através de parceiros comerciais para a Previdência |  Disponibilizar 4 serviços orquestradores para parceiros Previdência";Em Progresso;PI#17BVP;;;0.0;4;0;O5.1.3 Diversificar canais de venda através de parceiros comerciais para a Previdência;KR5.1.3.1 Disponibilizar 4 serviços orquestradores para parceiros Previdência;Ciclo 2025;1;;Parcerias Vida e Previdência;;;Não;VS_Est_VendasParcerias;;0.0;BVP;SGTIJIRA01-51407;;;;;;;;;;;;;;;;;;;;SDIGVSBV00-41040;SDIGVSBV00-41042;SDIGVSBV00-41041;SDIGVSBV00-41039;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58259;849515;OKR1.6.2.1 Aprimorar a experiência dos nossos clientes proporcionando melhorias nos nossos serviços e jornadas;Em Progresso;PI#9SI;;;0.0;3;0;"O1.6.2 Aprimorar a experiência dos nossos clientes proporcionando melhorias nos nossos serviços e jornadas
";"KR1.6.2.1 Efetuar 1 ativação para cada canal (Contratante, Referenciado e Beneficiário).
";Ciclo 2025;1;;"SAU PCBS Portal Referenciado
SAU PCBS – Negócios Saúde
SAU PCBS - Portal Beneficiário";;Medição ao final do 4º trim;Não;VS_CANAIS;;0.0;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUPCBS04-9694;SSAUPCBS04-9320;SSAUPCBS04-10121;SGTIJIRA01-51454;SSAUPCBS04-10023;SSAUPCBS04-9805;SSAUPCBS04-10123;SSAUPCBS04-10135;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58258;849514;OKR1.5.2.1 Melhorar a experiência de acesso e recuperação de senha dos canais digitais;Em Progresso;PI#9SI;;;0.0;2;0;"O1.5.2 Melhorar a experiência de acesso e recuperação de senha dos canais digitais
";"KR1.5.2.1 Criar 2 novos serviços que melhorem a eficiência da jornada de autenticação até dez/25
";Ciclo 2025;1;;SAU PCBS – Negócios Saúde;;Medição ao final do 4º trim;Não;VS_CANAIS;;0.0;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUPCBS04-9693;SGTIJIRA01-51453;SSAUPCBS04-9692;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58257;849513;OKR1.4.3.1 Garantir a entrega de todos os itens técnicos e/ou regulatórios indicados dentro do prazo;Em Progresso;PI#9SI;;;3.0;13;6;O1.4.3 Garantir a entrega de todos os itens técnicos e/ou regulatórios indicados dentro do prazo;KR1.4.3.1 Implementar os 13 itens priorizados até dez/25;Ciclo 2025;1;;"SAU PCBS - Portal Beneficiário
SAU PCBS - APP Saúde
SAU PCBS Portal Referenciado
SAU PCBS – Negócios Saúde";;Medição ao final do 4º trim;Não;VS_CANAIS;;46.0;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUPCBS04-6996;SSAUPCBS04-10076;SGTIJIRA01-50656;SSAUPCBS04-9395;SSAUPCBS04-10024;SSAUPCBS04-10122;SSAUPCBS04-9804;SSAUPCBS04-10045;SSAUPCBS04-6959;SSAUPCBS04-10138;SSAUPCBS04-8851;SSAUPCBS04-7488;SSAUPCBS04-7481;SSAUPCBS04-10511;;;;;;;;;;;;;
SGTIJIRA01-58255;849511;OKR1.1.2.1  Promover a centralidade do Portal de Negócios;FINALIZADO;PI#9SI;;;0.0;1;1;O1.1.2 Promover a centralidade do Portal de Negócios;KR1.1.2.1  Efetuar a ativação do download do arquivo de posição cadastral mensal;Ciclo 2025;1;Atingiu a Meta;SAU PCBS – Negócios Saúde;;Medição ao final do 4º trim;Não;VS_CANAIS;;100.0;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUPCBS04-7700;SGTIJIRA01-50647;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58254;846999;OKR 9.1.1.1 - Assegurar jornadas de resgate mais seguras nos canais de atendimento;Em Progresso;PI#17BVP;;;0.0;1;0;O9.1.1 Assegurar jornadas de resgate mais seguras nos canais de atendimento;KR9.1.1.1 Implementar a autenticação por biometria facial na jornada de Resgate Individual de Previdência no APP BSC;Ciclo 2025;1;;BVP Resgate Prev;;Medição ao final do 4º trim;Não;VS_Gest_Seguro;;0.0;BVP;SGTIJIRA01-51415;;;;;;;;;;;;;;;;;;;;SDIGVSBV00-38185;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58253;846998;OKR 6.2.1.1 - Eliminar intervenção manual no cadastro de beneficiário vida;A Fazer;;;;146.0;0;146;O6.2.1 Eliminar intervenção manual no cadastro de beneficiário vida;KR6.2.1.1 Reduzir 100% o tempo de cadastramento de dados de beneficiários (segundos);Ciclo 2025;;;;;;;VS_Gest_Seguro;;;BVP;SGTIJIRA01-58252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58252;846997;OKR6.2 - Desburocratizar a jornada de sinistro vida e previdência;A Fazer;;;;0.0;0;0;O6 Desburocratizar a jornada de sinistro vida e previdência;OKR6.2 Reduzir o SLA de regulação de documentação complementar em x dias;Ciclo 2025;;;;;;;VS_Gest_Seguro;;;BVP;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-58253;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58251;846996;OKR 6.1.2.1 - Seguir com a desburocratização da jornada de sinistro vida e prev;Em Progresso;PI#17BVP;;;0.0;2;0;O6.1.2 Seguir com a desburocratização da jornada de sinistro vida e prev.;KR6.1.2.1 Eliminar mais 2 formulários físicos do checklist de documentos de sinistro vida e prev;Ciclo 2025;1;;BVP Sinistro;;Medição ao final do 4º trim;Não;VS_Gest_Seguro;;0.0;BVP;SGTIJIRA01-51408;;;;;;;;;;;;;;;;;;;;SDIGVSBV00-40761;SDIGVSBV00-40796;SDIGVSBV00-36076;SDIGVSBV00-40760;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58250;846995;OKR10.3.2.1 - Promover autonomia ao cliente Previdência através da  disponibilização de autosserviços;Em Progresso;PI#17BVP;;;0.0;2;1;O10.3.2 Promover autonomia ao cliente Previdência através da disponibilização de autosserviços;KR10.3.2.1 Disponibilizar 2 funcionalidades para autosserviço para os clientes Correntistas e Não Correntistas;Ciclo 2025;1;;BVP Fidelização Previdencia;;Medição ao final do 4º trim;Não;VS_Onb_Relacionamento;;50.0;BVP;SGTIJIRA01-51419;;;;;;;;;;;;;;;;;;;;SDIGVSBV00-41087;SDIGVSBV00-36547;SDIGVSBV00-26469;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58249;846994;OKR4.3.2.1 - Integrar sistemas para ampliar a inteligência e rastreabilidade da jornada de subscrição;Em Progresso;PI#17BVP;;;0.0;100;0;O4.3.2 Integrar sistemas para ampliar a inteligência e rastreabilidade da jornada de subscrição;KR4.3.2.1 Garantir 100% de funcionamento das APIs Score Boa Vista  (nível vida) e Whatsapp (Inclusão ID do P8);Ciclo 2025;1;;BVP Atuarial - Subscrição/Analytics;;Medição ao final do 4º trim;Não;VS_AqRent_Subscricao;;0.0;BVP;SGTIJIRA01-51406;;;;;;;;;;;;;;;;;;;;SDIGVSBV00-40259;SDIGVSBV00-40919;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58248;846993;OKR4.2.3.1 - Aumentar a eficiência e controle da operação de subscrição empresarial;Em Progresso;PI#17BVP;;;0.0;4;0;O4.2.3 Aumentar a eficiência e controle da operação de subscrição empresarial;"KR4.2.3.1 Entregar pacote de melhorias no Módulo Empresarial com novos status de fluxo, anexos em análises, SLA automatizado e correções no envio automático de cartas";Ciclo 2025;1;;BVP Atuarial - Subscrição/Analytics;;Medição ao final do 4º trim;Não;VS_AqRent_Subscricao;;0.0;BVP;SGTIJIRA01-51405;;;;;;;;;;;;;;;;;;;;SDIGVSBV00-40251;SDIGVSBV00-40915;SDIGVSBV00-40252;SDIGVSBV00-40913;SDIGVSBV00-40861;SDIGVSBV00-40253;SDIGVSBV00-40917;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58247;846992;OKR4.1.2.1 - Garantir visibilidade e governança dos dados de subscrição empresarial;Em Progresso;PI#17BVP;;;0.0;2;0;O4.1.2 Garantir visibilidade e governança dos dados de subscrição empresarial;KR4.1.2.1 Disponibilizar relatórios de Subscrição e Participantes da Cotação Empresarial com atualização automática no Salesforce;Ciclo 2025;1;;BVP Atuarial - Subscrição/Analytics;;Medição ao final do 4º trim;Não;VS_AqRent_Subscricao;;0.0;BVP;SGTIJIRA01-51404;;;;;;;;;;;;;;;;;;;;SDIGVSBV00-40255;SDIGVSBV00-40778;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58246;846991;OKR3.2.2.2 - Aumentar a agilidade e a eficácia da operação dos produtos Prestamista;Em Progresso;PI#17BVP;;;0.0;3;0;O3.2.2 Aumentar a agilidade e a eficácia da operação dos produtos Prestamista;"KR3.2.2.2 Permitir a automatização da jornada de cancelamento em 3 produtos (e-agro, BF pesados e FGI)";Ciclo 2025;1;;BVP Prestamista;;Medição ao final do 4º trim;Não;VS_AqRent_Prestamista;;0.0;BVP;SDIGVSBV00-40036;SDIGVSBV00-41411;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51403;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58245;846990;OKR3.2.2.1 - Aumentar a agilidade e a eficácia da operação dos produtos Prestamista;Em Progresso;PI#17BVP;;;0.0;3;2;O3.2.2 Aumentar a agilidade e a eficácia da operação dos produtos Prestamista;KR3.2.2.1 Habilitar 3 melhorias operacionais;Ciclo 2025;1;;BVP Prestamista;;Medição ao final do 4º trim;Não;VS_AqRent_Prestamista;;66.0;BVP;SDIGVSBV00-40544;SDIGVSBV00-40974;SDIGVSBV00-40036;;;;;;;;;;;;;;;;;;SGTIJIRA01-51403;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58244;846989;"OKR3.1.3.2 - Impulsionar o crescimento do Prestamista por meio da expansão de canais, conquista de novos públicos e aumento da visibilidade";Em Progresso;PI#17BVP;;;0.0;3;0;"O3.1.3 Impulsionar o crescimento do Prestamista por meio da expansão de canais, conquista de novos públicos e aumento da visibilidade";KR3.1.3.2 Entregar de forma eficaz 3 projetos estruturantes que viabilizem resultados futuros;Ciclo 2025;1;;BVP Prestamista;;Medição ao final do 4º trim;Não;VS_AqRent_Prestamista;;0.0;BVP;SDIGVSBV00-41408;SDIGVSBV00-39957;SDIGVSBV00-40926;;;;;;;;;;;;;;;;;;SGTIJIRA01-51402;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58243;846988;"OKR3.1.3.1 - Impulsionar o crescimento do Prestamista por meio da expansão de canais, conquista de novos públicos e aumento da visibilidade";Em Progresso;PI#17BVP;;;0.0;3;0;"O3.1.3 Impulsionar o crescimento do Prestamista por meio da expansão de canais, conquista de novos públicos e aumento da visibilidade";KR3.1.3.1 Habilitar produtos prestamista em 3 novos Canais;Ciclo 2025;1;;BVP Prestamista;;Medição ao final do 4º trim;Não;VS_AqRent_Prestamista;;0.0;BVP;SDIGVSBV00-41409;SDIGVSBV00-40716;SDIGVSBV00-41410;;;;;;;;;;;;;;;;;;SGTIJIRA01-51402;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58242;846987;"OKR 1.1.3.1 - Manter a evolução estruturada dos sistemas para viabilizar a comercialização de um produto de novo segmento, no Portal de Negócios";Em Progresso;PI#17BVP;;;40.0;55;40;"O1.1.3 Manter a evolução estruturada dos sistemas para viabilizar a comercialização de um produto de novo segmento, no Portal de Negócios";"KR1.1.3.1 Garantir a implementação do alicerce considerando requisitos técnicos desenvolvidos e testados até o final da PI#17, o que representa 55% da evolução total do projeto para lançamento do produto";Ciclo 2025;1;;BVP Contratação Vida;;;;VS_AqRent_Contratacao;;;BVP;SGTIJIRA01-51396;SDIGVSBV00-40939;;;;;;;;;;;;;;;;;;;SDIGVSBV00-41689;SDIGVSBV00-42499;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58241;846986;"OKR 2.1.3.1 - Garantir a experiência digital do cliente no canal APP Banco após a contratação de novo produto de risco, por meio da entrega de serviços essenciais";FINALIZADO;PI#17BVP;;;0.0;4;4;"O2.1.3 Garantir a experiência digital do cliente no canal APP Banco após a contratação de novo produto de risco, por meio da entrega de serviços essenciais";KR2.1.3.1 Entregar o total de 100% das principais funcionalidades (4) no canal APP Banco e E-mail até dezembro de 2025 para suportar o lançamento da jornada de venda do novo produto de risco;Ciclo 2025;1;Atingiu a Meta;BVP Contratação Prev;;Medição ao final do 4º trim;Não;VS_AqRent_Contratacao;;100.0;BVP;SGTIJIRA01-51399;SDIGVSBV00-36559;SDIGVSBV00-36557;SDIGVSBV00-36560;SDIGVSBV00-37021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58240;846985;OKR 2.1.2.1 - Viabilizar a criação de um novo canal remoto de comercialização de produtos de Previdência por meio de entrega de serviços estratégicos;Em Progresso;PI#17BVP;;;0.0;4;0;O2.1.2 Viabilizar a criação de um novo canal remoto de comercialização de produtos de Previdência por meio de entrega de serviços estratégicos;KR2.1.2.1 Entregar 100% dos serviços (4) habilitadores para suportar o desenvolvimento da jornada de venda em um novo canal remoto de comercialização de produtos de Previdência até dez/25;Ciclo 2025;1;;BVP Contratação Prev;;Medição ao final do 4º trim;Não;VS_AqRent_Contratacao;;0.0;BVP;SDIGVSBV00-37104;SDIGVSBV00-36067;SDIGVSBV00-36069;SDIGVSBV00-36071;;;;;;;;;;;;;;;;;SGTIJIRA01-51399;;;;;;;;;;;;;;;;;;;;;;;;;;
